id;name;description;price;image;image_content_type;product_category_id
1;Steel;Assistant;57374;../fake-data/blob/hipster.png;image/png;1
2;monetize Consultant wireless;Handmade;76808;../fake-data/blob/hipster.png;image/png;2
3;deposit Track actuating;Unbranded Soap;63081;../fake-data/blob/hipster.png;image/png;3
4;navigating Michigan;Infrastructure;91058;../fake-data/blob/hipster.png;image/png;4
5;compressing withdrawal green;Bedfordshire Lao neutral;4184;../fake-data/blob/hipster.png;image/png;5
6;Business-focused;Rubber;95238;../fake-data/blob/hipster.png;image/png;6
7;orange Practical;Identity Dynamic Sports;86396;../fake-data/blob/hipster.png;image/png;7
8;Personal Steel;solutions;27331;../fake-data/blob/hipster.png;image/png;8
9;withdrawal invoice;Bike Shoes Center;20319;../fake-data/blob/hipster.png;image/png;9
10;SMS;methodical;83666;../fake-data/blob/hipster.png;image/png;10
