id;placed_date;status;total_price;payment_method;customer_details_id
1;2022-06-08T08:22:52;PENDING;33498;CASH;1
2;2022-06-08T00:59:29;PENDING;95881;CREDIT_CARD;2
3;2022-06-08T05:55:03;CANCELLED;66551;CASH;2
4;2022-06-08T02:37:02;COMPLETED;90304;CASH;1
5;2022-06-08T14:53:25;CANCELLED;95383;CASH;2
6;2022-06-08T18:42:56;PAID;45425;CREDIT_CARD;1
7;2022-06-08T13:46:20;PENDING;94970;CREDIT_CARD;2
8;2022-06-08T14:48:50;CANCELLED;70368;CREDIT_CARD;2
9;2022-06-08T15:32:24;CANCELLED;83961;CASH;1
10;2022-06-08T08:17:35;COMPLETED;6346;CASH;2
